method,iteration,rank,block_size,sparse_kind,high_precision_params,relative_fro_error,activation_relative_l2,activation_cosine,spectral_error_proxy,best_activation_relative_l2_so_far,lowrank_norm,bcm_norm,sparse_norm,weight_key,shape,activation_source,lr16_budget_params,budget_ratio_vs_lr16
alternating_svd_r16,0,16,0,none,49152,0.43801233172416687,0.4547072649002075,0.9047057032585144,0.9800809621810913,0.4547072649002075,22.52353858947754,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.43472594022750854,0.45154884457588196,0.9065436720848083,0.9761433005332947,0.45154884457588196,22.61132049560547,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.43323788046836853,0.4502164125442505,0.9068105220794678,0.9632321000099182,0.4502164125442505,22.700231552124023,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.4324284791946411,0.449603408575058,0.9070302844047546,0.9595820307731628,0.449603408575058,22.75528907775879,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.43980318307876587,0.4563116133213043,0.9043617248535156,0.9792117476463318,0.4563116133213043,22.25882911682129,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4360823929309845,0.45288142561912537,0.9061498045921326,0.9750373363494873,0.45288142561912537,22.32686424255371,1.1903949975967407,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.4344644546508789,0.45196565985679626,0.906396746635437,0.9656673073768616,0.45196565985679626,22.39777946472168,1.8032264709472656,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,3,13,256,none,49152,0.43362095952033997,0.45207199454307556,0.9060766100883484,0.9672124981880188,0.45196565985679626,22.44898223876953,2.138916254043579,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,0,8,0,row,49152,0.4439626634120941,0.464199960231781,0.900812566280365,1.1793227195739746,0.464199960231781,21.63438606262207,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,1,8,0,row,49152,0.4401475191116333,0.4585510492324829,0.9039210081100464,1.166349172592163,0.4585510492324829,21.676027297973633,0.0,2.082923412322998,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,2,8,0,row,49152,0.43916964530944824,0.4577336609363556,0.9042761325836182,1.1648287773132324,0.4577336609363556,21.725542068481445,0.0,2.589102029800415,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,3,8,0,row,49152,0.43867743015289307,0.4571244716644287,0.9045586585998535,1.1639997959136963,0.4571244716644287,21.76456642150879,0.0,3.026980400085449,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,0,8,0,tile,49152,0.44396284222602844,0.4632832705974579,0.9015219807624817,1.1793992519378662,0.4632832705974579,21.637454986572266,0.0,0.0,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,49152,0.4402376115322113,0.45738455653190613,0.9044690728187561,1.1678000688552856,0.45738455653190613,21.682601928710938,0.0,2.1793558597564697,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,49152,0.4395868182182312,0.4565429091453552,0.9047877788543701,1.1678880453109741,0.4565429091453552,21.72938346862793,0.0,2.3352322578430176,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,49152,0.43922942876815796,0.45718279480934143,0.9044961929321289,1.1656126976013184,0.4565429091453552,21.7635555267334,0.0,2.3796679973602295,blocks.0.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,0,16,0,none,49152,0.48442375659942627,0.4853358566761017,0.8970417976379395,1.2027463912963867,0.4853358566761017,12.534346580505371,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.48085740208625793,0.4828915297985077,0.8993678689002991,1.1958744525909424,0.4828915297985077,12.63791561126709,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.47926583886146545,0.4809298515319824,0.9009949564933777,1.1846139430999756,0.4809298515319824,12.765218734741211,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.4784359633922577,0.4791514575481415,0.9022122621536255,1.183595061302185,0.4791514575481415,12.855121612548828,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.4880116283893585,0.48656588792800903,0.8971300721168518,1.2013075351715088,0.48656588792800903,11.645724296569824,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4838549792766571,0.4832097291946411,0.8990248441696167,1.1920676231384277,0.4832097291946411,11.745586395263672,1.2075600624084473,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.4820692539215088,0.48214831948280334,0.8999584913253784,1.1897324323654175,0.48214831948280334,11.862150192260742,1.8273967504501343,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,3,13,256,none,49152,0.4811653196811676,0.48155006766319275,0.9004346132278442,1.1869475841522217,0.48155006766319275,11.946684837341309,2.1557092666625977,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,0,8,0,row,49152,0.4953497350215912,0.49533572793006897,0.893615186214447,1.2901694774627686,0.49533572793006897,9.674629211425781,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,1,8,0,row,49152,0.49106529355049133,0.4883906841278076,0.897162675857544,1.2804224491119385,0.4883906841278076,9.742439270019531,0.0,2.0848066806793213,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,2,8,0,row,49152,0.4899558424949646,0.4871721565723419,0.8979723453521729,1.2770719528198242,0.4871721565723419,9.836808204650879,0.0,2.581397533416748,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,3,8,0,row,49152,0.4893818497657776,0.4873667061328888,0.8973892331123352,1.2702913284301758,0.4871721565723419,9.905638694763184,0.0,3.0091497898101807,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,0,8,0,tile,49152,0.4953073263168335,0.49350491166114807,0.8941131830215454,1.3008220195770264,0.49350491166114807,9.674708366394043,0.0,0.0,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,49152,0.49119019508361816,0.4901106655597687,0.89637690782547,1.2805432081222534,0.4901106655597687,9.748968124389648,0.0,2.1700899600982666,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,49152,0.49044269323349,0.48963627219200134,0.8966871500015259,1.27718186378479,0.48963627219200134,9.845552444458008,0.0,2.3198604583740234,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,49152,0.4900166392326355,0.48932740092277527,0.8966445922851562,1.267760992050171,0.48932740092277527,9.916176795959473,0.0,2.3605856895446777,blocks.0.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,0,16,0,none,167936,0.45395344495773315,0.4647570550441742,0.9000343084335327,2.347884178161621,0.4647570550441742,34.678836822509766,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r16,1,16,0,none,167936,0.45184236764907837,0.4620501697063446,0.9017318487167358,2.3371365070343018,0.4620501697063446,34.771183013916016,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r16,2,16,0,none,167936,0.4509144127368927,0.46153050661087036,0.9019126892089844,2.3286924362182617,0.46153050661087036,34.87615203857422,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r16,3,16,0,none,167936,0.45044568181037903,0.46084240078926086,0.9023263454437256,2.3195314407348633,0.46084240078926086,34.9478645324707,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_bcm_b256_svd_r10,0,10,256,none,158720,0.4640360474586487,0.47484007477760315,0.8964246511459351,2.509983777999878,0.47484007477760315,31.631834030151367,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9451219512195121
alternating_bcm_b256_svd_r10,1,10,256,none,158720,0.4615207016468048,0.47203919291496277,0.8981171250343323,2.5014917850494385,0.47203919291496277,31.702247619628906,2.1961557865142822,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9451219512195121
alternating_bcm_b256_svd_r10,2,10,256,none,158720,0.4604714512825012,0.4711400866508484,0.8986012935638428,2.4925317764282227,0.4711400866508484,31.78153419494629,3.37069034576416,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9451219512195121
alternating_bcm_b256_svd_r10,3,10,256,none,158720,0.4599675238132477,0.4708058834075928,0.8986678123474121,2.4885497093200684,0.4708058834075928,31.837419509887695,4.012711048126221,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9451219512195121
alternating_svd_r8_rowsparse_b16,0,8,0,row,157696,0.468192458152771,0.4791506230831146,0.8944716453552246,2.795717239379883,0.4791506230831146,30.266748428344727,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_rowsparse_b16,1,8,0,row,157696,0.4654478430747986,0.4764023423194885,0.8962337970733643,2.7583558559417725,0.4764023423194885,30.32282066345215,0.0,3.2551324367523193,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_rowsparse_b16,2,8,0,row,157696,0.4647998809814453,0.4756315350532532,0.8966199159622192,2.7536399364471436,0.4756315350532532,30.384483337402344,0.0,4.009660720825195,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_rowsparse_b16,3,8,0,row,157696,0.4644795358181,0.47494813799858093,0.896934986114502,2.7519819736480713,0.47494813799858093,30.43421745300293,0.0,4.673977375030518,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_tilesparse_b32,0,8,0,tile,167936,0.46819886565208435,0.47941359877586365,0.894298791885376,2.794794797897339,0.47941359877586365,30.263242721557617,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,167936,0.46549510955810547,0.4767055809497833,0.8957885503768921,2.769296169281006,0.4767055809497833,30.310325622558594,0.0,3.381610870361328,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,167936,0.464942067861557,0.4752512276172638,0.8966444730758667,2.7637200355529785,0.4752512276172638,30.3714599609375,0.0,3.7490358352661133,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,167936,0.46461302042007446,0.47489503026008606,0.8969075679779053,2.763005018234253,0.47489503026008606,30.422382354736328,0.0,4.122054100036621,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r16,0,16,0,none,49152,0.47059231996536255,0.48228684067726135,0.8972878456115723,1.6639971733093262,0.48228684067726135,21.464309692382812,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.4671074450016022,0.479656457901001,0.8996282815933228,1.6499240398406982,0.479656457901001,21.573535919189453,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.46556639671325684,0.4779599905014038,0.9003604650497437,1.6502350568771362,0.4779599905014038,21.717044830322266,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.4647442698478699,0.47628021240234375,0.9015752077102661,1.6436340808868408,0.47628021240234375,21.818796157836914,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.47448834776878357,0.4866761267185211,0.8957164883613586,1.7071526050567627,0.4866761267185211,20.42629051208496,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4703747034072876,0.4822728931903839,0.8983157277107239,1.6957839727401733,0.4822728931903839,20.5338077545166,1.6601321697235107,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.46863675117492676,0.48095908761024475,0.8989498615264893,1.681355357170105,0.48095908761024475,20.66379165649414,2.516052722930908,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,3,13,256,none,49152,0.46776238083839417,0.47956329584121704,0.8999083042144775,1.677648663520813,0.47956329584121704,20.75037956237793,2.9775311946868896,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,0,8,0,row,49152,0.4819323718547821,0.49180734157562256,0.8940408825874329,1.845378041267395,0.49180734157562256,18.28106117248535,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,1,8,0,row,49152,0.47715508937835693,0.4864967167377472,0.8970243334770203,1.8416013717651367,0.4864967167377472,18.363672256469727,0.0,3.1953258514404297,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,2,8,0,row,49152,0.4760481119155884,0.485605925321579,0.897504448890686,1.8353378772735596,0.485605925321579,18.451801300048828,0.0,3.93708872795105,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,3,8,0,row,49152,0.4754818081855774,0.4848335087299347,0.8975141644477844,1.8352880477905273,0.4848335087299347,18.516523361206055,0.0,4.589237213134766,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,0,8,0,tile,49152,0.4818374216556549,0.49348828196525574,0.8930788040161133,1.829286813735962,0.49348828196525574,18.294322967529297,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,49152,0.47732415795326233,0.488103985786438,0.895824670791626,1.8199399709701538,0.488103985786438,18.37333869934082,0.0,3.257368803024292,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,49152,0.47650206089019775,0.4875253140926361,0.8964111804962158,1.8131368160247803,0.4875253140926361,18.474411010742188,0.0,3.511504650115967,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,49152,0.4759938716888428,0.4862210154533386,0.8971384763717651,1.8060169219970703,0.4862210154533386,18.550067901611328,0.0,3.7380917072296143,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,0,16,0,none,49152,0.49508267641067505,0.4974660873413086,0.8913349509239197,1.5338342189788818,0.4974660873413086,13.368243217468262,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.49104025959968567,0.49286943674087524,0.894709587097168,1.5180529356002808,0.49286943674087524,13.597074508666992,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.48914778232574463,0.4890259802341461,0.8975774645805359,1.5154120922088623,0.4890259802341461,13.882065773010254,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.48808589577674866,0.48770132660865784,0.8982260227203369,1.5166347026824951,0.48770132660865784,14.092188835144043,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.49771058559417725,0.4987027645111084,0.8922600150108337,1.5453447103500366,0.4987027645111084,12.19458293914795,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4931228458881378,0.49461281299591064,0.8953197002410889,1.5297781229019165,0.49461281299591064,12.407022476196289,1.6916923522949219,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.49104487895965576,0.4924490749835968,0.8964552283287048,1.5288795232772827,0.4924490749835968,12.682074546813965,2.5675127506256104,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
