action,step_start,step_end,block_start,block_end,branches,forecast_scale,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,14,14,6,6,[0],0.25,1,0.9879799591972338,0.971729300435733,0.971729300435733,0.028270699564266977,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],0.5,1,0.9647619027050593,0.9722379127856655,0.9722379127856655,0.027762087214334485,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],0.75,1,0.9697853282063623,0.9724619659526529,0.9724619659526529,0.027538034047347115,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],1.0,1,0.9691654452285288,0.9722082358830126,0.9722082358830126,0.02779176411698736,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.25,1,0.9974760584335848,0.9722269329993568,0.9722269329993568,0.027773067000643192,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.5,1,0.973238134052996,0.9722500900021399,0.9722500900021399,0.02774990999786009,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.75,1,0.9790902740358147,0.9725276401324128,0.9725276401324128,0.027472359867587226,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],1.0,1,0.980865736324537,0.9719156030022321,0.9719156030022321,0.02808439699776788,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.25,1,0.9860572675242683,0.9706610304434624,0.9706610304434624,0.029338969556537586,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.5,1,0.9544116524379808,0.9704522072272664,0.9704522072272664,0.02954779277273356,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.75,1,0.9300443710346925,0.9705014375462849,0.9705014375462849,0.02949856245371507,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],1.0,1,0.9524247261800687,0.9697456273992306,0.9697456273992306,0.030254372600769353,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],0.25,1,0.9978100390219057,0.9714630408572651,0.9714630408572651,0.028536959142734908,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],0.5,1,0.9693356231702649,0.9710804441688694,0.9710804441688694,0.028919555831130594,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],0.75,1,0.975853187278872,0.9716122090919947,0.9716122090919947,0.02838779090800525,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],1.0,1,0.9708016983772836,0.9707772457939574,0.9707772457939574,0.02922275420604259,0.0,1.0,1.0,2.0
C,14,14,24,24,[0],0.25,1,0.9851186291486175,0.970928696644099,0.970928696644099,0.029071303355901024,0.0,1.0,1.0,2.0
C,14,14,24,24,[0],0.5,1,0.9688744267549506,0.9712800952157409,0.9712800952157409,0.02871990478425912,0.0,1.0,1.0,2.0
C,14,14,24,24,[0],0.75,1,0.9643657176769871,0.9705403491193877,0.9705403491193877,0.02945965088061231,0.0,1.0,1.0,2.0
C,14,14,24,24,[0],1.0,1,0.9713297462351574,0.9709733708405499,0.9709733708405499,0.02902662915945009,0.0,1.0,1.0,2.0
C,14,14,24,24,[1],0.25,1,0.9876053518430001,0.9720134481174846,0.9720134481174846,0.02798655188251542,0.0,1.0,1.0,2.0
C,14,14,24,24,[1],0.5,1,0.915571103820629,0.9715309028419581,0.9715309028419581,0.02846909715804191,0.0,1.0,1.0,2.0
C,14,14,24,24,[1],0.75,1,0.955630542495666,0.9716944714419297,0.9716944714419297,0.028305528558070336,0.0,1.0,1.0,2.0
C,14,14,24,24,[1],1.0,1,0.9578187454734637,0.9710952873710257,0.9710952873710257,0.028904712628974316,0.0,1.0,1.0,2.0
C,16,16,6,6,[0],0.25,1,0.9674469980152915,0.9717008562921924,0.9717008562921924,0.028299143707807617,0.0,1.0,1.0,2.0
C,16,16,6,6,[0],0.5,1,0.9673977697063137,0.9720467168307145,0.9720467168307145,0.02795328316928547,0.0,1.0,1.0,2.0
C,16,16,6,6,[0],0.75,1,0.9706189090540946,0.9723981258761794,0.9723981258761794,0.027601874123820647,0.0,1.0,1.0,2.0
C,16,16,6,6,[0],1.0,1,0.9686215714198025,0.9721144501700972,0.9721144501700972,0.027885549829902767,0.0,1.0,1.0,2.0
C,16,16,6,6,[1],0.25,1,0.9910404338241149,0.9720605908148907,0.9720605908148907,0.027939409185109287,0.0,1.0,1.0,2.0
C,16,16,6,6,[1],0.5,1,0.9714577552935537,0.9719758648748152,0.9719758648748152,0.028024135125184757,0.0,1.0,1.0,2.0
C,16,16,6,6,[1],0.75,1,0.9792676675843123,0.9723299486104438,0.9723299486104438,0.02767005138955625,0.0,1.0,1.0,2.0
C,16,16,6,6,[1],1.0,1,0.981244872424031,0.9723259334370103,0.9723259334370103,0.027674066562989652,0.0,1.0,1.0,2.0
C,16,16,12,12,[0],0.25,1,0.97189277798575,0.9709561218164104,0.9709561218164104,0.029043878183589555,0.0,1.0,1.0,2.0
C,16,16,12,12,[0],0.5,1,0.9692801688571192,0.9712383536691689,0.9712383536691689,0.028761646330831114,0.0,1.0,1.0,2.0
C,16,16,12,12,[0],0.75,1,0.9643424463012695,0.9711314910053064,0.9711314910053064,0.02886850899469362,0.0,1.0,1.0,2.0
C,16,16,12,12,[0],1.0,1,0.9709305266881859,0.9698160030794445,0.9698160030794445,0.03018399692055551,0.0,1.0,1.0,2.0
C,16,16,12,12,[1],0.25,1,0.9775110847371513,0.9716272630174752,0.9716272630174752,0.02837273698252485,0.0,1.0,1.0,2.0
C,16,16,12,12,[1],0.5,1,0.9731714874065672,0.9719455582139707,0.9719455582139707,0.028054441786029338,0.0,1.0,1.0,2.0
C,16,16,12,12,[1],0.75,1,0.9798424590222877,0.9720079554097135,0.9720079554097135,0.02799204459028648,0.0,1.0,1.0,2.0
C,16,16,12,12,[1],1.0,1,0.9801660893872207,0.9715773632778747,0.9715773632778747,0.028422636722125305,0.0,1.0,1.0,2.0
C,16,16,24,24,[0],0.25,1,0.9678380803726226,0.9715797443424625,0.9715797443424625,0.028420255657537474,0.0,1.0,1.0,2.0
C,16,16,24,24,[0],0.5,1,0.9626612156223657,0.9717349426531842,0.9717349426531842,0.028265057346815836,0.0,1.0,1.0,2.0
C,16,16,24,24,[0],0.75,1,0.9558821161210654,0.972059122037985,0.972059122037985,0.027940877962015054,0.0,1.0,1.0,2.0
C,16,16,24,24,[0],1.0,1,0.9398631651187371,0.971943141228248,0.971943141228248,0.028056858771752013,0.0,1.0,1.0,2.0
C,16,16,24,24,[1],0.25,1,0.9756260572684463,0.9723158037078486,0.9723158037078486,0.027684196292151353,0.0,1.0,1.0,2.0
C,16,16,24,24,[1],0.5,1,0.9736124494346898,0.9723590255195314,0.9723590255195314,0.02764097448046865,0.0,1.0,1.0,2.0
C,16,16,24,24,[1],0.75,1,0.9795441606362966,0.9720681009933267,0.9720681009933267,0.027931899006673255,0.0,1.0,1.0,2.0
C,16,16,24,24,[1],1.0,1,0.9769918351180285,0.9720863260015716,0.9720863260015716,0.027913673998428368,0.0,1.0,1.0,2.0
C,19,19,6,6,[0],0.25,1,0.9637632792640209,0.9684050415661605,0.9684050415661605,0.031594958433839526,0.0,1.0,1.0,2.0
C,19,19,6,6,[0],0.5,1,0.9696583582192003,0.9702737109698518,0.9702737109698518,0.02972628903014818,0.0,1.0,1.0,2.0
C,19,19,6,6,[0],0.75,1,0.9669930563788481,0.971268210822588,0.971268210822588,0.028731789177412037,0.0,1.0,1.0,2.0
C,19,19,6,6,[0],1.0,1,0.9707399547435768,0.9716904816987977,0.9716904816987977,0.02830951830120232,0.0,1.0,1.0,2.0
C,19,19,6,6,[1],0.25,1,0.9718921545840041,0.9740835360287389,0.9740835360287389,0.025916463971261128,0.0,1.0,1.0,2.0
C,19,19,6,6,[1],0.5,1,0.9312710105978218,0.9751690401035189,0.9751690401035189,0.024830959896481097,0.0,1.0,1.0,2.0
C,19,19,6,6,[1],0.75,1,0.9718069039873114,0.9757834136124027,0.9757834136124027,0.024216586387597272,0.0,1.0,1.0,2.0
C,19,19,6,6,[1],1.0,1,0.9530536003035999,0.9759965722959978,0.9759965722959978,0.02400342770400221,0.0,1.0,1.0,2.0
C,19,19,12,12,[0],0.25,1,0.9648508478193658,0.9690922354158021,0.9690922354158021,0.03090776458419786,0.0,1.0,1.0,2.0
C,19,19,12,12,[0],0.5,1,0.9718342024113673,0.9694423531162518,0.9694423531162518,0.03055764688374818,0.0,1.0,1.0,2.0
C,19,19,12,12,[0],0.75,1,0.9700691233691331,0.9686304328161294,0.9686304328161294,0.03136956718387063,0.0,1.0,1.0,2.0
C,19,19,12,12,[0],1.0,1,0.9691622417055958,0.9666333993664933,0.9666333993664933,0.033366600633506716,0.0,1.0,1.0,2.0
C,19,19,12,12,[1],0.25,1,0.9570285282211415,0.9747964530773743,0.9747964530773743,0.02520354692262572,0.0,1.0,1.0,2.0
C,19,19,12,12,[1],0.5,1,0.976770349425313,0.9749693255979175,0.9749693255979175,0.02503067440208251,0.0,1.0,1.0,2.0
C,19,19,12,12,[1],0.75,1,0.9689011971441762,0.974479599528542,0.974479599528542,0.025520400471457982,0.0,1.0,1.0,2.0
C,19,19,12,12,[1],1.0,1,0.9799321617184721,0.9732624753719413,0.9732624753719413,0.026737524628058673,0.0,1.0,1.0,2.0
C,19,19,24,24,[0],0.25,1,0.9662202781940188,0.9470806120292384,0.9470806120292384,0.05291938797076157,0.0,1.0,1.0,2.0
C,19,19,24,24,[0],0.5,1,0.9655746712645995,0.9499928026730542,0.9499928026730542,0.05000719732694581,0.0,1.0,1.0,2.0
C,19,19,24,24,[0],0.75,1,0.9710748746347935,0.9501876352158857,0.9501876352158857,0.04981236478411433,0.0,1.0,1.0,2.0
C,19,19,24,24,[0],1.0,1,0.9698008286676452,0.9478755162851181,0.9478755162851181,0.052124483714881875,0.0,1.0,1.0,2.0
C,19,19,24,24,[1],0.25,1,0.9729513258813577,0.9604627753938433,0.9604627753938433,0.03953722460615672,0.0,1.0,1.0,2.0
C,19,19,24,24,[1],0.5,1,0.9769890569526666,0.9630115948672389,0.9630115948672389,0.03698840513276114,0.0,1.0,1.0,2.0
C,19,19,24,24,[1],0.75,1,0.9679344679288368,0.9609240510448046,0.9609240510448046,0.039075948955195394,0.0,1.0,1.0,2.0
C,19,19,24,24,[1],1.0,1,0.9771929524667228,0.9588318273650851,0.9588318273650851,0.0411681726349149,0.0,1.0,1.0,2.0
